Hour,Top 1,Top 1 Consumtion,Top 2,Top 2 Consumtion,Top 3,Top 3 Consumtion
0:00,MAC000034,10.144839178566649,MAC000032,4.175221496932894,MAC000024,3.6695446262802287
1:00,MAC000034,9.262222606261187,MAC000032,2.7160114754574676,MAC000003,2.3439365927075384
2:00,MAC000034,8.603926946998245,MAC000032,2.461281129492579,MAC000003,0.7981288593680658
3:00,MAC000034,5.3220882185170035,MAC000032,2.2873444403767373,MAC000021,0.7405046994245919
4:00,MAC000034,3.4230597751103033,MAC000032,1.8629856855785523,MAC000021,0.743499567937961
5:00,MAC000034,3.2606160595390166,MAC000021,0.7833344248350076,MAC000003,0.6703750168117466
6:00,MAC000034,3.0397224722027705,MAC000021,0.8555784343057735,MAC000024,0.806851336005629
7:00,MAC000021,0.9411874545655539,MAC000026,0.8966133623621767,MAC000010,0.6534075099633565
8:00,MAC000026,1.433056657174758,MAC000021,1.1075480946198504,MAC000010,0.9598030535761757
9:00,MAC000026,1.3897322965833556,MAC000010,1.2970136424757175,MAC000021,1.1288516115483436
10:00,MAC000024,1.2810291872448774,MAC000026,1.2681975446534146,MAC000035,1.2159980748363695
11:00,MAC000035,1.5134770465967229,MAC000024,1.472391058034009,MAC000026,1.3420248298068054
12:00,MAC000035,1.5346479359852325,MAC000024,1.4491307242519265,MAC000009,1.4239891505980113
13:00,MAC000023,1.5656334950115207,MAC000010,1.5438876136485127,MAC000024,1.465417600018551
14:00,MAC000023,1.873591001939839,MAC000010,1.510627595635178,MAC000035,1.3502005416638567
15:00,MAC000023,1.6638242749400338,MAC000010,1.3315217966046702,MAC000035,1.1232128738420823
16:00,MAC000023,1.3530818692967257,MAC000010,1.2778000188508516,MAC000035,1.111093535896485
17:00,MAC000010,1.8084949804065193,MAC000035,1.148559411380338,MAC000021,1.079710741918022
18:00,MAC000010,2.3221354604788296,MAC000035,1.3764429361013284,MAC000023,1.0996570056154495
19:00,MAC000010,2.163551255000994,MAC000035,1.4112257330772504,MAC000023,1.3628552527394135
20:00,MAC000023,1.7283531351540473,MAC000010,1.6402467908432712,MAC000035,1.3545031505239777
21:00,MAC000010,1.5187088524027659,MAC000023,1.3443208132722324,MAC000035,1.2534249555647778
22:00,MAC000021,1.2377555374749767,MAC000010,1.209798045420037,MAC000026,1.2047900807740852
23:00,MAC000026,1.1024043146544675,MAC000021,1.0314461790336003,MAC000010,1.029527887430337
